Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.3551974857049686
75% Corpus,2,0.01,0.31,0.21695936517347886
75% Corpus,2,0.01,0.61,0.22541706675030945
75% Corpus,2,0.01,0.9099999999999999,0.22126431341289737
75% Corpus,2,0.01,symmetric,0.22656807304751564
75% Corpus,2,0.31,0.01,0.3024791929824078
75% Corpus,2,0.31,0.31,0.22244653827954228
75% Corpus,2,0.31,0.61,0.22541706675030948
75% Corpus,2,0.31,0.9099999999999999,0.2614135869271831
75% Corpus,2,0.31,symmetric,0.2621518405371551
75% Corpus,2,0.61,0.01,0.25460356596339473
75% Corpus,2,0.61,0.31,0.24740438334370962
75% Corpus,2,0.61,0.61,0.3046354958544251
75% Corpus,2,0.61,0.9099999999999999,0.2744519909439226
75% Corpus,2,0.61,symmetric,0.2574733070185737
75% Corpus,2,0.9099999999999999,0.01,0.2669891498786068
75% Corpus,2,0.9099999999999999,0.31,0.2530580302403847
75% Corpus,2,0.9099999999999999,0.61,0.4402712796289364
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.2567628771963595
75% Corpus,2,0.9099999999999999,symmetric,0.32852228389865523
75% Corpus,2,symmetric,0.01,0.2577293929973903
75% Corpus,2,symmetric,0.31,0.2897798248006074
75% Corpus,2,symmetric,0.61,0.27610753318990866
75% Corpus,2,symmetric,0.9099999999999999,0.24590606330104037
75% Corpus,2,symmetric,symmetric,0.27961558574019946
75% Corpus,2,asymmetric,0.01,0.3372499451160245
75% Corpus,2,asymmetric,0.31,0.33253693208688206
75% Corpus,2,asymmetric,0.61,0.3059220853781032
75% Corpus,2,asymmetric,0.9099999999999999,0.26558684999576754
75% Corpus,2,asymmetric,symmetric,0.30426904603430327
75% Corpus,3,0.01,0.01,0.29579391510745034
75% Corpus,3,0.01,0.31,0.41987142425917057
75% Corpus,3,0.01,0.61,0.42243144683361294
75% Corpus,3,0.01,0.9099999999999999,0.4137875213373407
75% Corpus,3,0.01,symmetric,0.4206297658998777
75% Corpus,3,0.31,0.01,0.38282576622122727
75% Corpus,3,0.31,0.31,0.4526277976902529
75% Corpus,3,0.31,0.61,0.42320653576491835
