,Topic,Word,P
0,0,tol,0.082673125
1,0,infrastruktur,0.05900542
2,0,dollar,0.041806247
3,0,serikat,0.038665786
4,0,amerika,0.037879463
5,0,pembangunan,0.022359788
6,0,miliar,0.020655619
7,0,perizinan,0.016672758
8,0,tanam,0.015066081
9,0,alasan,0.014585165
10,1,indonesia,0.032851696
11,1,jepang,0.03221214
12,1,pertumbuhan,0.026349882
13,1,jalan,0.025962278
14,1,siapkan,0.025636986
15,1,iklim,0.02454041
16,1,listrik,0.02162793
17,1,tiongkok,0.021279156
18,1,luncurkan,0.020202858
19,1,pemerintah,0.018620722
20,2,reksa,0.08851802
21,2,dana,0.06851056
22,2,berinvestasi,0.031895738
23,2,bibit,0.03069684
24,2,menarik,0.026505362
25,2,reksadana,0.025648357
26,2,tabungan,0.021662446
27,2,langkah,0.02137674
28,2,rp,0.020715058
29,2,dapatkan,0.016120322
30,3,juta,0.05708014
31,3,belanja,0.053779136
32,3,capai,0.04537629
33,3,produk,0.035543557
34,3,digital,0.029848052
35,3,kumpulkan,0.027845124
36,3,bonus,0.02750021
37,3,thr,0.026244309
38,3,kasih,0.026219683
39,3,klik,0.026151018
40,4,persen,0.04068882
41,4,pengembang,0.028390054
42,4,waspada,0.021602072
43,4,inggris,0.017863065
44,4,semarang,0.01629299
45,4,prospek,0.015537776
46,4,peringkat,0.014715921
47,4,ri,0.013423939
48,4,peraturan,0.013317764
49,4,manajer,0.013303508
50,5,properti,0.09967487
51,5,tips,0.026682368
52,5,muda,0.022017188
53,5,pariwisata,0.021125989
54,5,risiko,0.020017346
55,5,menguntungkan,0.01972721
56,5,pemula,0.016682245
57,5,bali,0.016605455
58,5,kerja,0.014311666
59,5,medan,0.01366409
60,6,pabrik,0.027306166
61,6,milenial,0.026539022
62,6,ii,0.020422949
63,6,energi,0.019049676
64,6,bpjs,0.018789401
65,6,indonesia,0.016615476
66,6,properti,0.016384106
67,6,nasabah,0.016244147
68,6,layak,0.01616832
69,6,mandiri,0.015973149
70,7,apartemen,0.06986228
71,7,bangun,0.04973764
72,7,swasta,0.020761723
73,7,jepang,0.019820083
74,7,aman,0.01900451
75,7,bidik,0.016082803
76,7,semester,0.01514102
77,7,investor,0.014758588
78,7,haji,0.014356799
79,7,jamin,0.014196767
80,8,asia,0.020837521
81,8,korea,0.018509476
82,8,mobil,0.018393243
83,8,kawasan,0.018180205
84,8,malaysia,0.017590474
85,8,terbaik,0.017009495
86,8,rakyat,0.016306393
87,8,tingkatkan,0.016281469
88,8,perwakilan,0.015747402
89,8,jokowi,0.015706714
90,9,ajak,0.020687241
91,9,pilih,0.02060692
92,9,jam,0.01824593
93,9,group,0.018071989
94,9,targetkan,0.01767789
95,9,nasional,0.015717534
96,9,turun,0.014909792
97,9,dunia,0.0148374
98,9,komisi,0.0129862735
99,9,pandemi,0.012571749
100,10,china,0.06035225
101,10,asing,0.048015743
102,10,jawa,0.036973402
103,10,indonesia,0.03318971
104,10,tembus,0.024085278
105,10,perusahaan,0.023128293
106,10,teknologi,0.02059636
107,10,minat,0.020177241
108,10,rp,0.019424567
109,10,triliun,0.018832263
110,11,bkpm,0.06374327
111,11,rumah,0.018316321
112,11,tumbuh,0.018171282
113,11,rp,0.017480228
114,11,harga,0.01548827
115,11,bertemu,0.014106126
116,11,pendidikan,0.013992691
117,11,instrumen,0.0138200745
118,11,pajak,0.013677823
119,11,emas,0.013173083
120,12,luhut,0.030334309
121,12,bidang,0.023594614
122,12,politik,0.0188468
123,12,menko,0.017057471
124,12,pemilihan,0.016853807
125,12,menteri,0.016774386
126,12,mahasiswa,0.015565808
127,12,populer,0.014961308
128,12,telepon,0.013537574
129,12,stabil,0.012830288
130,13,triliun,0.06541007
131,13,rp,0.045044303
132,13,realisasi,0.0336011
133,13,izin,0.028682828
134,13,proyek,0.025422037
135,13,jakarta,0.020974437
136,13,target,0.020334039
137,13,i,0.019042108
138,13,kuartal,0.018159278
139,13,minyak,0.014278838
140,14,strategi,0.02849349
141,14,pengusaha,0.026725441
142,14,pertanian,0.024945576
143,14,pendanaan,0.02205784
144,14,jokowi,0.02059861
145,14,ala,0.017856475
146,14,bi,0.015733842
147,14,bos,0.015717734
148,14,sehat,0.015588473
149,14,posisi,0.015529045
150,15,daerah,0.03081353
151,15,bekasi,0.02343675
152,15,tertipu,0.020058455
153,15,lebaran,0.019685047
154,15,ojk,0.016740695
155,15,startup,0.015836444
156,15,bodong,0.01574615
157,15,online,0.015215955
158,15,tangerang,0.014412786
159,15,polisi,0.013879337
160,16,tawarkan,0.025490103
161,16,bodong,0.025381677
162,16,miliar,0.02351947
163,16,singapura,0.023066152
164,16,rp,0.019760847
165,16,hati,0.018779274
166,16,tertarik,0.017793525
167,16,penipuan,0.016943004
168,16,korban,0.015768383
169,16,global,0.014323245
